Owner,Year,Herbaceous Vegetation,Shrubs,Amphibians,Birds,Mammals
Kalispel,2002,1765,1825,1294,4513,288
Kalispel,2003,2492,2614,964,4397,337
Kalispel,2004,765,1074,549,2949,584
Kalispel,2005,1878,4367,1,979,156
Kalispel,2006,1809,5600,230,1727,132
BLM,2009,856,542,,197,30
Spokane,2009,620,6269,,202,59
Turnbull NWR,2009,1158,3203,32,495,32
BLM,2010,1169,483,,276,139
Colville,2010,1066,0,,246,6
Spokane,2010,693,7709,,237,68
Turnbull NWR,2010,1333,3919,69,540,51
BLM,2011,1247,491,,228,122
Spokane,2011,2263,3003,37,1258,287
Turnbull NWR,2011,1490,1192,160,615,87
Colville,2012,4689,1042,60,1569,62
Coeur d'Alene,2013,1615,1682,9073,954,373
Kalispel,2013,709,1892,19,605,53
Kootenai,2013,1154,623,29,847,504
Kalispel,2014,3202,14543,3569,2643,301
